Registro ANS;CNPJ;RazÆo Social;Nome Fantasia;Modalidade;Logradouro;N£mero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endere‡o eletr“nico;Representante;Cargo Representante;Data Registro ANS
317233;4,21602E+13;FUNDA€ÇO CHESF DE ASSISTÒNCIA E SEGURIDADE SOCIAL;FACHESF;AutogestÆo;PRA€A CHORA MENINO;58;;BOA VISTA;Recife;PE;50070210;81;34127555;;ans@fachesf.com.br;HELDER ROCHA FALCÇO;PRESIDENTE;24/12/1998
307751;1,25853E+13;FUNDA€AO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;COMPESAPREV;AutogestÆo;RUA AUGUSTO RODRIGUES;60;;TORREÇO;Recife;PE;52030180;81;33662434;33662422;compesaprev@compesaprev.com.br;ALEXANDRE ARAUJO DE MORAES;DIRETOR PRESIDENTE;28/12/1998
355151;7,50549E+13;FUNDA€ÇO COPEL DE PREVIDÒNCIA E ASSISTÒNCIA SOCIAL;FUNDA€ÇO COPEL;AutogestÆo;RUA TREZE DE MAIO;616;;SÇO FRANCISCO;Curitiba;PR;80510030;41;38836000;38836018;ans@fcopel.org.br;OTTO ARMIN DOETZER;DIRETOR DE SEGURIDADE;29/12/1998
420701;2,5064E+13;FUNDA€ÇO DE ASSISTÒNCIA · SAéDE DA ASSOCIA€ÇO DO MINISTRIO PéBLICO DO RIO GRANDE DO SUL;FAS/AMP/RS;AutogestÆo;AV. AURELIANO DE FIGUEIREDO PINTO;501;;PRAIA DE BELAS;Porto Alegre;RS;90050191;51;32241221;;contato@fasamprs.com.br;CLAUDIO BONATTO;DIRETOR PRESIDENTE;27/01/2017
339636;3,97695E+11;FUNDA€ÇO DE ASSISTÒNCIA E PREVIDÒNCIA SOCIAL DO BNDES;FUNDA€ÇO DE ASSISTÒNCIA E PREVIDÒNCIA SOCIAL DO BNDES;AutogestÆo;AV REPéBLICA DO CHILE;230;8§ ANDAR;CENTRO;Rio de Janeiro;RJ;20031170;21;38205200;;fernanda.farias@fapes.com.br;RODOLFO TORRES DOS SANTOS;DIRETOR ;24/12/1998
309362;4,69585E+11;FUNDA€ÇO DE PREVIDÒNCIA DOS EMPREGADOS DA CEB;FACEB;AutogestÆo;SCS QD 04 LOTE;143;;ASA SUL;Bras¡lia;DF;70304905;61;33120201;32235737;faceb@faceb.com.br;THIAGO CAVALCANTE SANTOS;REPRESENTANTE ;28/12/1998
311359;3,04148E+11;FUNDA€ÇO DE SAéDE ITAIGUAPY;HOSPITAL MINISTRO COSTA CAVALCANTI - PLANO DE SAéDE ITAMED;Medicina de Grupo;AV. GRAMADO;580;;VILA 'A';Foz do Igua‡u;PR;85860460;45;35768011;35768060;diretoria@hmcc.com.br;FERNANDO COSSA;DIRETOR SUPERINTENDENTE;23/12/1998
330809;3,17876E+13;FUNDA€ÇO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;FUNSSEST;AutogestÆo;AV. BRIGADEIRO EDUARDO GOMES;526;POLO INDUSTRIAL TUBARÇO;SERRA;Serra;ES;29160904;27;33481210;33282245;funssest@arcelormittal.com.br;CARLOS RENATO DOS SANTOS DA PENHA;DIR. DE SEGURIDADE E ADMINISTR;29/12/1998
313904;3,42688E+13;FUNDA€ÇO ELETROBRµS DE SEGURIDADE SOCIAL - ELETROS;ELETROS-SAéDE;AutogestÆo;RUA URUGUAIANA;174;5§, 6§ E 7§ ANDAR;CENTRO;Rio de Janeiro;RJ;20050092;21;21794700;25092897;esaude@eletros.com.br;ROGERIO CARLOS LAMIM BRAZ;REPRESENTANTE;17/12/1998
418285;1,28388E+13;FUNDA€ÇO FIAT SAéDE E BEM ESTAR;FCA SAéDE MG;AutogestÆo;AV. CONTORNO;3455; GALPÆO 6, 2§ ANDAR, PARTE A;PAULO CAMILO;Betim;MG;32669900;31;34023812;;ans@fundacaofiat.com.br;CRISTIANE DE OLIVEIRA ROQUE PAIXÇO;REPRESENTANTE LEGAL;10/11/2011
323942;2,6151E+13;FUNDA€ÇO FILANTRàPICA E BENEFICENTE DE SAéDE ARNALDO GAVAZZA FILHO;HOSPITAL ARNALDO GAVAZZA FILHO;Filantropia;AV. DR. JOSE GROSSI;16;;GUARAPIRANGA;Ponte Nova;MG;35430213;31;38195000;38195001;hagf@gavazza.com.br;LUCIMAR REGINA DE OLIVEIRA FONSECA;SUPERINTENDENTE EXECUTIVO ADJ;30/12/1998
410292;6,04994E+13;FUNDACAO LEONOR DE BARROS CAMARGO;FUNDACAO LEONOR DE BARROS CAMARGO;Filantropia;AV.SAO GABRIEL ;201;16.¦ ANDAR CONJ. 1606;JARDIM PAULISTA;SÆo Paulo;SP;1435001;11;38018200;38018200;haoc.idt@terra.com.br;RENATO SARGO;SUPERINTENDENTE;20/12/1999
378216;2,01195E+13;FUNDA€ÇO LIBERTAS DE SEGURIDADE SOCIAL;FUNDA€ÇO LIBERTAS;AutogestÆo;AV. µLVARES CABRAL;200;8§ ANDAR;CENTRO;Belo Horizonte;MG;30170000;31;21113700;21113687;geas@fundacaolibertas.com.br;LUCAS FERRAZ NOBREGA;DIRETOR PRESIDENTE;28/12/1998
418501;1,44086E+13;FUNDA€ÇO PLAMHUV - PLANO MDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VI€OSA;PLAMHUV;Medicina de Grupo;TRAVESSA DR. FELÖCIO BRANDI;22;LOJA 01 - ED REGINA LOPES DOS SANTOS;CENTRO;Vi‡osa;MG;36570000;31;38911800;38911800;plamhuv@plamhuv.com.br;ILDAMARA GANDRA DE MENEZES;REPRESENTANTE LEGAL;03/05/2012
336165;6,54719E+13;FUNDA€ÇO SABESP DE SEGURIDADE SOCIAL - SABESPREV;SABESPREV;AutogestÆo;ALAMEDA SANTOS;1827;14§ ANDAR;CERQUEIRA CESAR;SÆo Paulo;SP;1419909;11;31454600;31454641;amarques@sabesprev.com.br;ROBERTO AFFONSO ANCIÇES;DIRETOR DE GESTÇO;16/12/1998
338648;7,73759E+13;FUNDA€ÇO SANEPAR DE ASSISTÒNCIA SOCIAL;FUNDA€ÇO SANEPAR DE ASSISTÒNCIA SOCIAL;AutogestÆo;RUA BANO PEREIRA;309;EDIFICIO FUSAN;CENTRO;Curitiba;PR;80410240;41;33079191;33079199;claudia@fusan.com.br;CLµUDIA TRINDADE;DIRETORA PRESIDENTE;17/12/1998
339954;1,98784E+13;FUNDA€ÇO SÇO FRANCISCO XAVIER;HOSPITAL MµRCIO CUNHA;Filantropia;AV. KIYOSHI TSUNAWAKI;41;;BAIRRO DAS ·GUAS;Ipatinga;MG;35160158;31;38299050;38251264;usisaude@fsfx.com.br;SALVADOR PRADO JUNIOR;DIRETOR PRESIDENTE;16/12/1998
312126;7,38094E+13;FUNDA€ÇO SAéDE ITAé;FUNDA€ÇO SAéDE ITAé;AutogestÆo;RUA CURITIBA;689;11§ ANDAR;CENTRO;Belo Horizonte;MG;30170120;11;27331727;;marcelo.leao@itau-unibanco.com.br;MARCELO TEIXEIRA LEÇO;REPRESENTANTE;17/12/1998
414689;4,83909E+12;FUNDO DE ASSISTÒNCIA · SAéDE DOS FUNCIONµRIOS DO BEC;FAMED;AutogestÆo;RUA ANTONIO AUGUSTO;1271;SL 301;ALDEOTA;Fortaleza;CE;60110370;85;32521826;32521118;famed@famedsaude.com.br;JOS EDMAR LIMA MELO;PRESIDENTE;17/10/2003
418129;1,30261E+13;FUNDO DE ASSISTÒNCIA MDICO-HOSPITALAR DO MINISTRIO PéBLICO;FAMEH/MP;AutogestÆo;RUA MENDEL;306;SALA 1;CARANDµ BOSQUE I;Campo Grande;MS;79032320;67;33263882;33261720;FAMEH@ASMMP.ORG.BR;EDGAR ROBERTO LEMOS DE MIRANDA;DIRETOR PRESIDENTE;13/07/2011
409286;6,86877E+13;G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP;LIFE LAGOS SAUDE;Medicina de Grupo;AVENIDA SÇO PEDRO ;455;;ESTA€ÇO ;SÆo Pedro da Aldeia;RJ;28940000;2;226211165;226211165;administracao@lifelagos.com.br;TERESINHA GOMES DA SILVA;SOCIA GERENTE;22/10/1999
407011;2,00992E+12;GAMA SAUDE LTDA.;GAMA SAUDE LTDA.;Medicina de Grupo;ALAMEDA XINGU;512;17 ANDAR, SALA 1704;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6455030;11;33368624;41977862;maoliveira@qualicorp.com.br;ELTON HUGO CARLUCI;REPRESENTANTE;03/08/1999
347591;5,67657E+12;GAMEC - GRUPO DE ASSISTÒNCIA MEDICA EMPRESARIAL DO CEARµ EIRELI;GAMEC;Medicina de Grupo;AVENIDA CARLOS JEREISSATI;561;SALA 210;JEREISSATI I;Maracana£;CE;61900225;85;40122288;40122288;gamec@gamec.com.br;RUY LIBORIO FEITOSA;SàCIO ADMINISTRADOR;06/01/1999
343064;4,55726E+13;GARANTIA DE SAéDE LTDA;GARANTIA DE SAéDE;Medicina de Grupo;RUA AMRICO GOMES DA COSTA;114;;VILA AMERICANA;SÆo Paulo;SP;8010120;11;20588500;;demandainicial.ans@garantiasaude.com.br;JOSE KRAUTHAMER;DIRETOR;22/12/1998
419931;1,05478E+13;GEAC - GERENCIAMENTO EMPRESARIAL LTDA;;Administradora de Benef¡cios;RUA DOM PEDRO II;54;SALA 506;CENTRO;Santos;SP;11010080;13;32335351;;joaobolzan@uol.com;JOÇO BOLZAN NETO;ADMINISTRADOR;28/10/2015
323080;3,65843E+12;GEAP AUTOGESTÇO EM SAéDE;GEAP;AutogestÆo;TERRA€O SHOPPING SHC-AO SUL, EA 02/08 LO;05;TR.B 3§ ANDAR;OCTOGONAL SUL;Bras¡lia;DF;70660900;61;21034569;;ans@geap.com.br;RICARDO MARQUES FIGUEIREDO;DIRETOR PRESIDENTE;22/12/1998
417262;1,08979E+13;GESTÇO SERVI€OS DE INTERMEDIA€ÇO, AGENCIAMENTO E NEGàCIOS LTDA;GESTÇO;Administradora de Benef¡cios;AVENIDA DEODORO DA FONSECA;363;;PETRàPOLIS;Natal;RN;59020025;84;30262800;36112976;ANS@GESTAOSAUDE.ADM.BR;FERNANDO HENRIQUE AZEVEDO DE FREITAS;SàCIO ADMINISTRADOR;14/05/2010
416819;5,85123E+13;GKN DO BRASIL LTDA;;AutogestÆo;RUA JOAQUIM SILVEIRA;557;PARQUE SAO SEBASTIAO;PASSO DA MANGUEIRA;Porto Alegre;RS;91060320;51;33499491;33499210;claudio.raiter@gkndriveline.com;CLAUDIO FERNANDO CIPOLATTI RAITER;DIRETOR DE RH;16/01/2009
422258;3,10692E+13;GLOBAL ADMINISTRADORA DE BENEFÖCIOS LTDA;GLOBAL ADMINISTRADORA DE BENEFÖCIOS LTDA;Administradora de Benef¡cios;R Doutor Pedro Correia;05;Sala 09;Centro;Arapiraca;AL;57300400;82;996964041;;antonioneto.asrn@gmail.com;ANTONIO SOARES RODRIGUES NETO;Administrador;04/08/2020
422681;4,01873E+13;GO CARE PLANOS DE SAUDE EIRELI;;Medicina de Grupo;RUA ERASMO BRAGA;1175;;JARDIM CHAPADAO;Campinas;SP;13070147;19;31992588;;presidencia@gocaresaude.com.br;T¶NIA MARA MACHADO;s¢cia administradora;04/03/2021
305995;6,51407E+13;GOOD LIFE SAUDE LTDA;GOODLIFE;Medicina de Grupo;AVENIDA TEOTâNIO PARREIRA COELHO;860;;INGµ ALTO;Betim;MG;32604376;3;135165100;135165131;diretoria@goodlife.com.br;UBIRAJARA BARROS TEIXEIRA;DIRETOR PRESIDENTE;23/12/1998
309222;3,19255E+13;GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;ASSIM SAéDE;Medicina de Grupo;AV. PRESIDENTE VARGAS ;914;LOJAS A e B, salas 310,410,510,610,710;CENTRO;Rio de Janeiro;RJ;20071001;21;21029781;21029722;assim@assim.com.br;CSAR ROBERTO MIRANDA RODRIGUES;DIRETOR FINANCEIRO;18/12/1998
413160;4,16572E+12;GS PLANO GLOBAL DE SAéDE LTDA;GS;Medicina de Grupo;RUA FERNANDO BIZZOTO;90;A;CENTRO;Nova Friburgo;RJ;28613040;22;25226902;25226902;planogs@planogs.com.br;JOS CARLOS VERBICµRIO DANTAS DOS SANTOS JéNIOR;DIRETOR ADMINISTRATIVO;16/02/2001
419443;1,6693E+13;G2C ADMINISTRADORA DE BENEFICIOS LTDA - ME;;Administradora de Benef¡cios;RUA DA ASSEMBLEIA ;10;SALAS 2001 A 2003;CENTRO;Rio de Janeiro;RJ;20011000;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;SERGIO BASTOS GUIMARÇES;ADMINISTRADOR;13/08/2014
419834;2,21038E+13;HALSA OPERADORA DE MEDICINA DE GRUPO LTDA;GH SAUDE OPERADORA DE MEDICINA DE GRUPO;Medicina de Grupo;AVENIDA TANCREDO NEVES;620;EDIF¡CIO MUNDO PLAZA, SALA 715;CAMINHO DAS ARVORES;Salvador;BA;41820020;71;30321414;;MATCONSULTORES@GMAIL.COM;MARCO ANTONIO TORRES;SàCIO ADMINISTRADOR;14/07/2015
422444;3,71797E+13;HAPPYMED PLANO DE SAéDE LTDA;HAPPYMED;Medicina de Grupo;RUA SAO JORGE;25;SALA 02;CENTRO;Florian¢polis;SC;88015320;48;37710400;;assuntosregulatorios@happymed.com.br;RAPHAEL HENRIQUE MENEGUETTI;Presidente;02/10/2020
368253;6,35541E+13;HAPVIDA ASSISTENCIA MEDICA LTDA;HAPVIDA;Medicina de Grupo;AV HERµCLITO GRA€A;406;2§ ANDAR;CENTRO;Fortaleza;CE;60140060;85;32559189;32559170;cians@hapvida.com.br;ANDR LUIZ BOMFIM DE MELO;DIRETOR SUPERINTENDENTE ADM.;17/12/1998
421936;3,33319E+13;HARMONIA ADMINISTRADORA DE BENEFÖCIOS LTDA;;Administradora de Benef¡cios;Avenida Erasmo Braga;227;GR 702-B;Centro;Rio de Janeiro;RJ;20020902;21;35469947;;antonio.harmoniapg@terra.com.br;ANTONIO CARLOS DO ESPIRITO SANTO;SOCIO ADMINISTRADOR;12/03/2020
350249;2,66851E+12;H.B. SAéDE S/A.;HB SAéDE;Medicina de Grupo;AV. JOS MUNIA;6250;;JARDIM DAS VIVENDAS;SÆo Jos‚ do Rio Preto;SP;15090275;17;40096700;40096711;hbsaude@hbsaude.com.br;FRANCISCO GARCIA PARRA;REPRESENTANTE;16/12/1998
414352;5,01132E+12;HBC SAéDE LTDA.;HBC SAéDE;Medicina de Grupo;RUA TAPAJàS;289;;JARDIM BARBOSA;Guarulhos;SP;7111340;11;24423344;26032177;controladoria@hbcsaude.com.br;FABIO FARINELLI;REPRESENTANTE LEGAL;06/08/2002
417611;1,08464E+13;HEALTH ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benef¡cios;RUA CONCEI€ÇO DE MONTE ALEGRE;198;CONJ 91 - 9§ ANDAR;BROOKLIN PAULISTA;SÆo Paulo;SP;4563060;11;37772470;;health@healthbr.com.br;ARNALDO DA SILVA CESAR COUTINHO;ADMINISTRADOR;04/11/2010
421723;2,70473E+13;HEALTH-MED SISTEMA DE SAUDE LTDA;HEALTH-MED;Medicina de Grupo;AVENIDA RIO BRANCO;125;15§ ANDAR;CENTRO;Rio de Janeiro;RJ;20040006;21;22211133;;ricardo.mello@healthmedsaude.com.br;MARIA GERALDINE COUCEIRO;SOCIA ADMINISTRADORA;30/04/2019
419303;1,89189E+13;HEBROM ADMINISTRADORA DE BENEFICIOS LTDA. - ME;;Administradora de Benef¡cios;RUA CONSELHEIRO CRISPINIANO;69;SALA 72;REPUBLICA;SÆo Paulo;SP;1037001;11;31512488;31512488;TONYYRODRIGO@HOTMAIL.COM;ANTONIO RODRIGUES FILHO;S¢CIO ADMINISTRADOR;25/02/2014
416398;8,85918E+11;HOSPITAIS E CLÖNICAS DO PIAUÖ S/S LTDA;INTERMED;Medicina de Grupo;RUA AMAPµ;65;;ILHOTAS;Teresina;PI;64001140;86;32307700;32211010;ans@intermed-pi.com.br;EMMANUEL AUGUSTO DE CARVALHO FONTES;REPRESENTANTE JUNTO · ANS;26/09/2007
419362;3,89785E+12;HOSPITAL BOM SAMARITANO S/S LTDA;HOSPITAL BOM SAMARITANO;Medicina de Grupo;RODOVIA SP 332, KM 152,5;S/N;;JARDIM BLUMENAU;Artur Nogueira;SP;13160000;19;38275232;;SIDNEY@BOMSAMARITANO.COM.BR;SIDNEY STORCH DUTRA;SàCIO- DIRETOR;05/05/2014
314706;2,22631E+13;HOSPITAL CSAR LEITE;HOSPITAL CSAR LEITE;Filantropia;PRA€A DR CSAR LEITE;383;;CENTRO;Manhua‡u;MG;36900000;33;33311700;33313470;plancel@bol.com.br;LEANDRO SATLER CAMPOS;DIRETOR DO PLANCEL;22/12/1998
420930;7,78935E+13;HOSPITAL DE CARIDADE SÇO VICENTE DE PAULO;HOSPITAL DE CARIDADE SÇO VICENTE DE PAULO;Filantropia;RUA MARECHAL FLORIANO PEIXOTO;1059;;CENTRO;Guarapuava;PR;85010270;42;36217800;;direcao@hospitalsaovicente.org.br;HUBERTO JOS LIMBERGER;PROVEDOR;25/10/2017
341941;9,06198E+13;HOSPITAL DE PRONTOCLINICA LTDA.;HOSPITAL DE PRONTOCLINICA LTDA.;Medicina de Grupo;RUA ARTHUR LEITE;37;;CENTRO;Passo Fundo;RS;99020220;54;30458700;3135492;faturamento@prontoclinicas.com.br;JULMAR INACIO BIANCINI;RESPONSAVEL TECNICO;22/12/1998
392391;8,15643E+13;HOSPITAL MARECHAL C¶NDIDO RONDON S/A;CONVÒNIO SEMPRE VIDA;Medicina de Grupo;RUA CABRAL;985;;CENTRO;Marechal Cƒndido Rondon;PR;85960000;45;32847229;32847127;operacional@semprevida.com.br;CARLOS AUGUSTO FERREIRA;REPRESENTANTE;29/12/1998
421626;1,66765E+13;HOSPITAL MATER DEI SA ;;AutogestÆo;Rua Mato Grosso;1100;S/N;Santo Agostinho;Belo Horizonte;MG;30190088;31;33399199;;materdeisaude@materdei.com.br;HENRIQUE MORAES SALVADOR SILVA;Diretor Presidente;18/02/2019
363189;3,04449E+12;HOSPITAL S.P. LTDA.;PRONTOCLÖNICA;Medicina de Grupo;RUA BENTO GON€ALVES ;578;CONJ. 910;CENTRO;Passo Fundo;RS;99010010;54;33132299;33132299;seta.hospitalsp@gmail.com;JULMAR INµCIO BIANCINI;SOCIO DIRETOR;22/12/1998
357511;3,61325E+11;HUMANA ASSISTENCIA MEDICA LTDA;HUMANA SAUDE;Medicina de Grupo;AV. FREI SERAFIM;2155;;CENTRO;Teresina;PI;64000020;86;32232233;32237440;humana@humanasaude.com.br;FµBIO MINAMISAWA HIROTA;REPRESENTANTE;29/12/1998
417050;9,29804E+12;IBBCA 2008 GESTÇO EM SAéDE LTDA;IBBCA GESTÇO;Administradora de Benef¡cios;AV. JOS SILVA DE AZEVEDO NETO;200;EVOLUTION 3 BL. 2 GRUPOS 101, 103 E 108;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;21;39745551;39745550;fbispo@ibbca.com.br;MONICA BASUS BISPO;REPRESENTANTE;31/07/2009
414921;1,17675E+12;IDEAL ODONTO ASSISTÒNCIA ODONTOLàGICA LTDA.;;Odontologia de Grupo;AV. DAS NA€åES UNIDAS;18.801;;SANTO AMARO;SÆo Paulo;SP;4795100;11;55183881;;josepaulo@me.com;JOS PAULO PEREIRA SILVA;SàCIO ADMINISTRADOR;17/08/2004
420751;2,60322E+13;IDEAL SAéDE ASSISTÒNCIA MDICA AMBULATORIAL LTDA;IDEAL SAéDE;Medicina de Grupo;QS 03;LOTE 03/09;LJ 16 E 17, TERREO, ED. PATIO CAPITAL;TAGUATINGA;Bras¡lia;DF;71953000;61;32421250;;diretoria@idealsaudedf.com.br;PATRICIA APARECIDA DE CARVALHO;SàCIA ADMINISTRADORA;18/01/2017
414557;1,64829E+13;IDENTAL ASSISTÒNCIA ODONTOLàGICA LTDA - ME;IDENTAL;Odontologia de Grupo;RUA SÇO PEDRO;88;SALA 201/EDIF SAFIRA;RIO VERMELHO;Salvador;BA;41920260;71;40039292;34832717;contabilidade@atemde.com.br;ANTâNIO CLEITON VIEIRA GURGEL;DIR. ADMINISTRATIVO/FINANCEIRO;08/04/2003
420310;2,46224E+13;IDENTS PLANOS ODONTOLàGICOS LTDA.;IDENTS PLANOS ODONTOLàGICOS;Odontologia de Grupo;RUA IZONZO;161;1§ ANDAR;SACOMÇ;SÆo Paulo;SP;4249000;11;31477222;;LEANDRO.G.VELASCO@GMAIL.COM;LEANDRO GON€ALVES VELASCO;ADMINISTRADOR;01/12/2016
421812;3,00955E+13;IMPETU ADMINISTRADORA DE BENEFICIOS EIRELI;;Administradora de Benef¡cios;AVENIDA REPUBLICA ARGENTINA;1336;CJ 1216 - ANDAR 12 - COND. INSPIRA BUSIN;VILA IZABEL;Curitiba;PR;80620010;11;48902259;;comercial@impetu.com.br;AIRTON PEREIRA SANTOS;ADMINISTRADOR;23/08/2019
415332;7,26067E+12;INµCIO E SPANGHERO LTDA;SORRISO ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;RUA PRUDENTE DE MORAES;1054;;CENTRO;Ibitinga;SP;14940000;16;33424177;33411420;assistenciasorriso@gmail.com;RODRIGO SPANGHERO GARCIA;REPRESENTANTE LEGAL;24/10/2005
418277;1,34124E+13;INDEPENDENCIA ADMINISTRADORA DE BENEFICIOS LTDA;INDEPENDENCIA ADMINISTRADORA DE BENEFICIOS LTDA;Administradora de Benef¡cios;RUA DOUTOR CARVALHO DE MENDON€A;238;CONJUNTO 66;VILA BELMIRO;Santos;SP;11070101;13;33275089;33275089;INDEPENDENCIA@ADMINDEPENDENCIA.COM.BR;JOÇO BOLZAN NETO;REPRESENTANTE LEGAL;10/11/2011
329282;3,22818E+11;INDUSTRIAS NUCLEARES DO BRASIL S/A - INB;INDUSTRIAS NUCLEARES DO BRASIL S/A - INB;AutogestÆo;AVENIDA REPéBLICA DO CHILE;230;SALAS 2401 A 2501;CENTRO;Rio de Janeiro;RJ;20031919;24;33578835;33578830;codep@inb.gov.br;ANDR LUIZ LEITE;GERENTE DE RECURSOS HUMANOS;28/12/1998
420301;2,52918E+13;INOVA ADMINISTRADORA DE BENEFÖCIOS LTDA ME;;Administradora de Benef¡cios;AVENIDA RIO BRANCO;404;SALA 801, BLOCO I;CENTRO;Florian¢polis;SC;88015200;48;30284363;;RTDEEKE@UOL.COM.BR;RICARDO TIAGO DEEKE;S¢CIO ADMINISTRADOR;01/12/2016
419427;9,28277E+13;INSTITUI€ÇO BENEFICENTE CEL MASSOT - IBCM;IBCM;AutogestÆo;RUA BARÆO DO TRIUNFO;175;;MENINO DEUS;Porto Alegre;RS;90130101;51;32305555;32305569;planejamento_ans@ibcm.org.br;ALCEU BOSI;DIRETOR VICE-PRESIDENTE;14/07/2014
419010;3,5189E+12;INSTITUTO CURITIBA DE SAéDE;INSTITUTO CURITIBA DE SAéDE - ICS;AutogestÆo;AVENIDA MARECHAL FLORIANO PEIXOTO;1895;;REBOU‡AS;Curitiba;PR;80230110;41;33306049;33306090;ics@ics.curitiba.pr.gov.br;TIAGO WATERKEMPER;DIRETOR PRESIDENTE;06/09/2013
414981;7,52137E+12;INSTITUTO DE ODONTOLOGIA DO MARANHÇO LTDA.;IOMA;Odontologia de Grupo;RUA GENESIO REGO;211;;MONTE CASTELO;SÆo Lu¡s;MA;65030650;98;32312101;32310044;ioma@elo.com.br;WELLINGTON JOSE ALVES NUNES;DIR TEC SAUDE E ADMINISTRATIVO;29/10/2004
389358;8,56424E+11;INSTITUTO DE PREVIDÒNCIA E ASSISTÒNCIA ODONTOLàGICA LTDA;INPAO;Odontologia de Grupo;AV. VEREADOR JOS DINIZ;3.300;CJ. 1801;CAMPO BELO;SÆo Paulo;SP;4604006;1;150944040;150420302;representanteans@inpao.com.br;CLAUDIO LUIZ MARTINS ABDOUD;DIRETOR ADM. E FINANCEIRO;16/12/1998
415260;5,59705E+12;INSTITUTO DE SAéDE ODONTOLàGICA - ISODONT LTDA;ISODONT;Odontologia de Grupo;AVENIDA ERNANI DO AMARAL PEIXOTO;36;COMPLEMENTO 1301;CENTRO;Niter¢i;RJ;24020074;21;22200175;;isodont@isodont.com.br;RICARDO MAURICIO DUTRA;SàCIO ADMINISTRADOR;03/10/2005
421839;3,26923E+13;INTEGRAL ADMINISTRADORA DE BENEFÖCIOS LTDA.;INTEGRAL SAéDE;Administradora de Benef¡cios;SETOR SBN QD 02 BLOCO F SALA 413;BLOCO F;EDIFÖCIO VIA CAPITAL;ASA NORTE;Bras¡lia;DF;70040911;61;37022272;;gestao@administradoraintegral.com.br;ROULIEN ROBSON DO ESPÖRITO SANTO FERREIRA;S¢cio Administrador;21/06/2019
418340;1,3523E+13;INTEGRAL CONVÒNIO ODONTOLàGICO LTDA.;INTEGRAL CONVÒNIO ODONTOLàGICO;Odontologia de Grupo;RUA CONSELHEIRO SARAIVA;522;;VILA TIBRIO;RibeirÆo Preto;SP;14050410;16;21027877;36107656;administracao@integraldental.com.br;RICARDO NEGRÇO LUTTI;SàCIO DIRETOR;21/12/2011
359394;6,02552E+13;INTEGRAL SERVI€OS ODONTOLàGICOS LTDA.;INTEGRAL CONVÒNIO ODONTOLàGICO LTDA.;Odontologia de Grupo;RUA SANTOS DUMONT;766;;VILA TIBRIO;RibeirÆo Preto;SP;14050060;16;21027877;36107656;administracao@integralconvenio.com.br;ANTONIO LUIZ DE OLIVEIRA;SàCIO GERENTE;21/12/1998
417998;1,19806E+13;INTERBRASIL ADMINISTRADORA DE BENEFICIOS E SISTEMAS DE SAUDE S/A;INTERBRASIL SAéDE;Administradora de Benef¡cios;RUA VICENTE LINHARES;500;SALA 2001;ALDEOTA;Fortaleza;CE;60135270;85;30382168;;ans@interbrasilsaude.com.br;ANDREA OLIVEIRA DA COSTA ALMEIDA;REPRESENTANTE;20/04/2011
422134;3,46081E+13;INTERCLINICAS DO BRASIL ASSIST EM OPERADORA DE SAUDE S/A;;Medicina de Grupo;AV MELCHERT ;926;3 ANDAR;VILA MATILDE;SÆo Paulo;SP;3508000;11;39957301;;paulogiorgini@hotmail.com;MURILO MENDES GIORGINI;diretor financeiro;11/02/2020
420841;2,26947E+13;INTERCLÖNICAS DO BRASIL ASSISTENCIA MDICA LTDA;;Medicina de Grupo;PRA€A DA REPéBLICA;272;3§ ANDAR;REPéBLICA;SÆo Paulo;SP;1045000;11;39957301;;euro@terra.com.br;PAULO GIORGINI;SàCIO ADMINISTRADOR;27/03/2017
312525;1,08142E+12;INTERDENTAL ODONTOLOGIA INTEGRADA LTDA.;INTERDENTAL ODONTOLOGIA INTEGRADA LTDA.;Odontologia de Grupo;AV PIAUI;57;;ESTADOS;JoÆo Pessoa;PB;58030330;83;32443550;32443550;interdental@interdental.com.br;ALBANO FERREIRA DIAS NETO;REPRESENTANTE PERANTE ANS;03/02/1999
312282;6,24767E+13;INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;INTERMEDICI PIRACICABA;Medicina de Grupo;RUA TORQUATO DA SILVA LEITÇO;605;;SÇO DIMAS;Piracicaba;SP;13416215;19;34373770;34373770;interpir@terra.com.br;ALEXANDRE FRANCISCO MARGARIDO LOUREN€O;SOCIO-GERENTE;22/12/1998
420913;2,42975E+13;INTERNACIONAL ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benef¡cios;RUA DA ASSEMBLEIA;10;SALA 3520;CENTRO ;Rio de Janeiro;RJ;20011901;21;35531933;;j.roberto.jrs@bol.com.br;JOSE ROBERTO DA SILVA;ADMINISTRADOR;31/08/2017
